;org:resource;ticket;phase;created;endtime;priority;issuetype;concept:name;time:timestamp;@@index;case:concept:name
91;PO; IMA  3578;RFW;2021-09-29 12:31:52.813000+00:00;2021-09-29 12:51:53.956000+00:00;Minor;Bug;RFW;2021-09-29 12:31:52.813000+00:00;116; IMA  3578
92;Front End Developer; IMA  3578;WIog;2021-09-29 12:51:53.956000+00:00;2021-10-01 12:19:18.127000+00:00;Minor;Bug;WIog;2021-09-29 12:51:53.956000+00:00;117; IMA  3578
93;Front End Developer; IMA  3578;AcP;2021-10-01 12:19:18.127000+00:00;2021-10-01 12:49:09.498000+00:00;Minor;Bug;AcP;2021-10-01 12:19:18.127000+00:00;118; IMA  3578
94;QA; IMA  3578;AcIog;2021-10-01 12:49:09.498000+00:00;2021-10-01 14:12:02.735000+00:00;Minor;Bug;AcIog;2021-10-01 12:49:09.498000+00:00;119; IMA  3578
95;QA; IMA  3578;AcD;2021-10-01 14:12:02.735000+00:00;2021-10-01 14:12:02.735000+00:00;Minor;Bug;AcD;2021-10-01 14:12:02.735000+00:00;120; IMA  3578
96;PO; IMA  3581;RFW;2021-07-13 16:13:09.158000+00:00;2021-07-29 18:04:37.337000+00:00;Minor;Task;RFW;2021-07-13 16:13:09.158000+00:00;121; IMA  3581
97;Front End Developer; IMA  3581;WIog;2021-07-29 18:04:37.337000+00:00;2021-08-11 16:21:44.914000+00:00;Minor;Task;WIog;2021-07-29 18:04:37.337000+00:00;122; IMA  3581
98;Front End Developer; IMA  3581;AcP;2021-08-11 16:21:44.914000+00:00;2021-08-11 17:10:01.246000+00:00;Minor;Task;AcP;2021-08-11 16:21:44.914000+00:00;123; IMA  3581
99;QA; IMA  3581;AcIog;2021-08-11 17:10:01.246000+00:00;2021-08-11 18:20:13.389000+00:00;Minor;Task;AcIog;2021-08-11 17:10:01.246000+00:00;124; IMA  3581
100;QA; IMA  3581;AcD;2021-08-11 18:20:13.389000+00:00;2021-08-11 18:20:13.389000+00:00;Minor;Task;AcD;2021-08-11 18:20:13.389000+00:00;125; IMA  3581
101;PO; IMA  3585;RFW;2021-07-13 16:13:00.267000+00:00;2021-07-27 14:32:30.833000+00:00;Major;Task;RFW;2021-07-13 16:13:00.267000+00:00;127; IMA  3585
102;Front End Developer; IMA  3585;WIog;2021-07-27 14:32:30.833000+00:00;2021-07-28 18:41:09.598000+00:00;Major;Task;WIog;2021-07-27 14:32:30.833000+00:00;128; IMA  3585
103;Front End Developer; IMA  3585;AcP;2021-07-28 18:41:09.598000+00:00;2021-07-29 09:34:23.070000+00:00;Major;Task;AcP;2021-07-28 18:41:09.598000+00:00;129; IMA  3585
104;QA; IMA  3585;AcIog;2021-07-29 09:34:23.070000+00:00;2021-07-29 15:01:42.059000+00:00;Major;Task;AcIog;2021-07-29 09:34:23.070000+00:00;130; IMA  3585
105;QA; IMA  3585;AcD;2021-07-29 15:01:42.059000+00:00;2021-07-29 15:01:42.059000+00:00;Major;Task;AcD;2021-07-29 15:01:42.059000+00:00;131; IMA  3585
106;PO; IMA  3593;RF;2021-08-23 16:22:39.162000+00:00;2021-08-24 16:15:53.885000+00:00;Major;Task;RF;2021-08-23 16:22:39.162000+00:00;133; IMA  3593
107;PO; IMA  3593;RFW;2021-08-24 16:15:53.885000+00:00;2022-03-01 11:12:59.484000+00:00;Major;Task;RFW;2021-08-24 16:15:53.885000+00:00;134; IMA  3593
108;Front End Developer; IMA  3593;WIog;2022-03-01 11:12:59.484000+00:00;2022-03-02 09:23:18.307000+00:00;Major;Task;WIog;2022-03-01 11:12:59.484000+00:00;135; IMA  3593
109;Front End Developer; IMA  3593;AcP;2022-03-02 09:23:18.307000+00:00;2022-03-02 10:19:08.716000+00:00;Major;Task;AcP;2022-03-02 09:23:18.307000+00:00;136; IMA  3593
110;QA; IMA  3593;AcIog;2022-03-02 10:19:08.716000+00:00;2022-03-03 10:40:04.573000+00:00;Major;Task;AcIog;2022-03-02 10:19:08.716000+00:00;137; IMA  3593
111;QA; IMA  3593;AcD;2022-03-03 10:40:04.573000+00:00;2022-03-03 10:40:04.573000+00:00;Major;Task;AcD;2022-03-03 10:40:04.573000+00:00;138; IMA  3593
112;PO; IMA  3596;Plan;2021-07-23 09:53:25.923000+00:00;2021-08-24 10:06:31.258000+00:00;Must;Story;Plan;2021-07-23 09:53:25.923000+00:00;139; IMA  3596
113;PO; IMA  3596;RFW;2021-08-24 10:06:31.258000+00:00;2021-09-28 15:06:50.756000+00:00;Must;Story;RFW;2021-08-24 10:06:31.258000+00:00;140; IMA  3596
114;Front End Developer; IMA  3596;WIog;2021-09-28 15:06:50.756000+00:00;2021-10-21 17:12:54.436000+00:00;Must;Story;WIog;2021-09-28 15:06:50.756000+00:00;141; IMA  3596
115;Front End Developer; IMA  3596;AcP;2021-10-21 17:12:54.436000+00:00;2021-10-22 15:11:59.573000+00:00;Must;Story;AcP;2021-10-21 17:12:54.436000+00:00;142; IMA  3596
116;QA; IMA  3596;AcIog;2021-10-22 15:11:59.573000+00:00;2021-10-25 17:59:26.017000+00:00;Must;Story;AcIog;2021-10-22 15:11:59.573000+00:00;143; IMA  3596
117;QA; IMA  3596;AcD;2021-10-25 17:59:26.017000+00:00;2021-10-25 17:59:26.017000+00:00;Must;Story;AcD;2021-10-25 17:59:26.017000+00:00;144; IMA  3596
118;PO; IMA  3613;RFW;2021-07-27 16:12:59.885000+00:00;2021-08-23 11:04:29.148000+00:00;Must;Task;RFW;2021-07-27 16:12:59.885000+00:00;147; IMA  3613
119;Front End Developer; IMA  3613;WIog;2021-08-23 11:04:29.148000+00:00;2021-09-03 11:13:57.520000+00:00;Must;Task;WIog;2021-08-23 11:04:29.148000+00:00;148; IMA  3613
120;Front End Developer; IMA  3613;AcP;2021-09-03 11:13:57.520000+00:00;2021-09-03 11:15:26.958000+00:00;Must;Task;AcP;2021-09-03 11:13:57.520000+00:00;149; IMA  3613
121;QA; IMA  3613;AcIog;2021-09-03 11:15:26.958000+00:00;2021-09-07 13:09:13.702000+00:00;Must;Task;AcIog;2021-09-03 11:15:26.958000+00:00;150; IMA  3613
122;QA; IMA  3613;AcD;2021-09-07 13:09:13.702000+00:00;2021-09-07 13:09:13.702000+00:00;Must;Task;AcD;2021-09-07 13:09:13.702000+00:00;151; IMA  3613
123;Front End Developer; IMA  3626;RFW;2021-07-13 10:56:10.255000+00:00;2021-07-13 12:53:02.604000+00:00;Minor;Bug;RFW;2021-07-13 10:56:10.255000+00:00;159; IMA  3626
124;Front End Developer; IMA  3626;WIog;2021-07-13 12:53:02.604000+00:00;2021-07-14 17:35:52.693000+00:00;Minor;Bug;WIog;2021-07-13 12:53:02.604000+00:00;160; IMA  3626
125;Front End Developer; IMA  3626;AcP;2021-07-14 17:35:52.693000+00:00;2021-07-15 10:15:42.387000+00:00;Minor;Bug;AcP;2021-07-14 17:35:52.693000+00:00;161; IMA  3626
126;QA; IMA  3626;AcIog;2021-07-15 10:15:42.387000+00:00;2021-07-15 13:24:26.652000+00:00;Minor;Bug;AcIog;2021-07-15 10:15:42.387000+00:00;162; IMA  3626
127;QA; IMA  3626;AcD;2021-07-15 13:24:26.652000+00:00;2021-07-15 13:24:26.652000+00:00;Minor;Bug;AcD;2021-07-15 13:24:26.652000+00:00;163; IMA  3626
128;PO; IMA  3634;RFW;2021-07-13 16:12:57.381000+00:00;2021-07-26 11:49:59.603000+00:00;Major;Bug;RFW;2021-07-13 16:12:57.381000+00:00;173; IMA  3634
129;Front End Developer; IMA  3634;WIog;2021-07-26 11:49:59.603000+00:00;2021-07-26 15:58:08.383000+00:00;Major;Bug;WIog;2021-07-26 11:49:59.603000+00:00;174; IMA  3634
130;Front End Developer; IMA  3634;AcP;2021-07-26 15:58:08.383000+00:00;2021-07-28 10:10:44.836000+00:00;Major;Bug;AcP;2021-07-26 15:58:08.383000+00:00;175; IMA  3634
131;QA; IMA  3634;AcIog;2021-07-28 10:10:44.836000+00:00;2021-07-28 12:18:41.055000+00:00;Major;Bug;AcIog;2021-07-28 10:10:44.836000+00:00;176; IMA  3634
132;QA; IMA  3634;AcD;2021-07-28 12:18:41.055000+00:00;2021-07-28 12:18:41.055000+00:00;Major;Bug;AcD;2021-07-28 12:18:41.055000+00:00;177; IMA  3634
133;PO; IMA  3640;RFW;2021-07-13 16:13:38.370000+00:00;2021-07-30 13:05:05.138000+00:00;Major;Task;RFW;2021-07-13 16:13:38.370000+00:00;187; IMA  3640
134;Front End Developer; IMA  3640;WIog;2021-07-30 13:05:05.138000+00:00;2021-08-13 12:10:26.721000+00:00;Major;Task;WIog;2021-07-30 13:05:05.138000+00:00;188; IMA  3640
135;Front End Developer; IMA  3640;AcP;2021-08-13 12:10:26.721000+00:00;2021-08-16 09:32:40.813000+00:00;Major;Task;AcP;2021-08-13 12:10:26.721000+00:00;189; IMA  3640
136;QA; IMA  3640;AcIog;2021-08-16 09:32:40.813000+00:00;2021-08-16 11:31:12.675000+00:00;Major;Task;AcIog;2021-08-16 09:32:40.813000+00:00;190; IMA  3640
137;QA; IMA  3640;AcD;2021-08-16 11:31:12.675000+00:00;2021-08-16 11:31:12.675000+00:00;Major;Task;AcD;2021-08-16 11:31:12.675000+00:00;191; IMA  3640
138;PO; IMA  3643;RFW;2021-07-13 16:13:04.354000+00:00;2021-08-03 16:48:35.442000+00:00;Minor;Task;RFW;2021-07-13 16:13:04.354000+00:00;195; IMA  3643
139;Front End Developer; IMA  3643;WIog;2021-08-03 16:48:35.442000+00:00;2021-08-04 19:01:04.514000+00:00;Minor;Task;WIog;2021-08-03 16:48:35.442000+00:00;196; IMA  3643
